gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Myo1d,Q5SYD0,MYO1D_MOUSE,reviewed,Unconventional myosin-Id,Myo1d,Mus musculus (Mouse),1006
Myo5b,P21271,MYO5B_MOUSE,reviewed,Unconventional myosin-Vb,Myo5b Kiaa1119,Mus musculus (Mouse),1818
Myo6,Q64331,MYO6_MOUSE,reviewed,Unconventional myosin-VI (Unconventional myosin-6),Myo6 Sv,Mus musculus (Mouse),1265
Myo9b,Q9QY06,MYO9B_MOUSE,reviewed,Unconventional myosin-IXb (Unconventional myosin-9b),Myo9b Myr5,Mus musculus (Mouse),2114
Myof,Q69ZN7,MYOF_MOUSE,reviewed,Myoferlin (Fer-1-like protein 3),Myof Fer1l3 Kiaa1207,Mus musculus (Mouse),2048
N4bp1,Q6A037,N4BP1_MOUSE,reviewed,NEDD4-binding protein 1 (N4BP1),N4bp1 Kiaa0615,Mus musculus (Mouse),893
Naa15,Q80UM3,NAA15_MOUSE,reviewed,"N-alpha-acetyltransferase 15, NatA auxiliary subunit (N-terminal acetyltransferase 1) (NMDA receptor-regulated protein 1) (Protein tubedown-1)",Naa15 Narg1 Nat1 Tbdn-1 Tubedown,Mus musculus (Mouse),865
Naa25,Q8BWZ3,NAA25_MOUSE,reviewed,"N-alpha-acetyltransferase 25, NatB auxiliary subunit (Mitochondrial distribution and morphology protein 20) (N-terminal acetyltransferase B complex subunit MDM20) (NatB complex subunit MDM20) (N-terminal acetyltransferase B complex subunit NAA25)",Naa25 Mdm20,Mus musculus (Mouse),972
Naa30,Q8CES0,NAA30_MOUSE,reviewed,N-alpha-acetyltransferase 30 (EC 2.3.1.256) (N-acetyltransferase 12) (N-acetyltransferase MAK3 homolog) (NatC catalytic subunit),Naa30 Mak3 Nat12,Mus musculus (Mouse),364
Naa40,Q8VE10,NAA40_MOUSE,reviewed,N-alpha-acetyltransferase 40 (EC 2.3.1.257) (N-acetyltransferase 11) (N-alpha-acetyltransferase D) (NatD) (Protein acetyltransferase 1),Naa40 Nat11 Patt1,Mus musculus (Mouse),237
Naa50,Q6PGB6,NAA50_MOUSE,reviewed,N-alpha-acetyltransferase 50 (EC 2.3.1.258) (N-acetyltransferase NAT13) (N-epsilon-acetyltransferase 50) (EC 2.3.1.-) (NatE catalytic subunit),Naa50 Mak3 Nat13,Mus musculus (Mouse),169
Nacc1,Q7TSZ8,NACC1_MOUSE,reviewed,Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B),Nacc1 Btbd14b Nac1,Mus musculus (Mouse),514
Nadsyn1,Q711T7,NADE_MOUSE,reviewed,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase) (NH3-dependent NAD(+) synthetase-like protein),Nadsyn1,Mus musculus (Mouse),725
Naga,Q9QWR8,NAGAB_MOUSE,reviewed,Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B),Naga,Mus musculus (Mouse),415
Naip1,Q9QWK5,BIR1A_MOUSE,reviewed,Baculoviral IAP repeat-containing protein 1a (Neuronal apoptosis inhibitory protein 1),Naip1 Birc1a Naip,Mus musculus (Mouse),1403
Naip6,Q9JIB6,BIR1F_MOUSE,reviewed,Baculoviral IAP repeat-containing protein 1f (Neuronal apoptosis inhibitory protein 6),Naip6 Birc1f Naip-rs4,Mus musculus (Mouse),1403
Nans,Q99J77,SIAS_MOUSE,reviewed,Sialic acid synthase (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase),Nans Sas,Mus musculus (Mouse),359
Nap1l1,P28656,NP1L1_MOUSE,reviewed,Nucleosome assembly protein 1-like 1 (Brain protein DN38) (NAP-1-related protein),Nap1l1 Nrp,Mus musculus (Mouse),391
Narf,Q9CYQ7,NARF_MOUSE,reviewed,Nuclear prelamin A recognition factor (Iron-only hydrogenase-like protein 2) (IOP2),Narf,Mus musculus (Mouse),462
Narf,Q9ESN6,TRIM2_MOUSE,reviewed,Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (Neural activity-related RING finger protein) (RING-type E3 ubiquitin transferase TRIM2),Trim2 Kiaa0517 Narf,Mus musculus (Mouse),744
Nasp,Q99MD9,NASP_MOUSE,reviewed,Nuclear autoantigenic sperm protein (NASP),Nasp,Mus musculus (Mouse),773
Nbeal2,Q6ZQA0,NBEL2_MOUSE,reviewed,Neurobeachin-like protein 2,Nbeal2 Kiaa0540,Mus musculus (Mouse),2742
Nradd,Q8CJ26,NRADD_MOUSE,reviewed,Death domain-containing membrane protein NRADD (Neurotrophin receptor homolog-2) (NRH2) (Neurotrophin receptor-alike death domain protein),Nradd,Mus musculus (Mouse),228
Nbr1,P97432,NBR1_MOUSE,reviewed,Next to BRCA1 gene 1 protein (Membrane component chromosome 17 surface marker 2 homolog) (Neighbor of BRCA1 gene 1 protein),Nbr1 M17s2,Mus musculus (Mouse),988
Ncapd2,Q8K2Z4,CND1_MOUSE,reviewed,Condensin complex subunit 1 (Chromosome condensation-related SMC-associated protein 1) (Chromosome-associated protein D2) (mCAP-D2) (Non-SMC condensin I complex subunit D2) (XCAP-D2 homolog),Ncapd2 Capd2 Cnap1 Kiaa0159,Mus musculus (Mouse),1392
Ncaph2,Q8BSP2,CNDH2_MOUSE,reviewed,Condensin-2 complex subunit H2 (Kleisin-beta) (Non-SMC condensin II complex subunit H2),Ncaph2 D15Ertd785e,Mus musculus (Mouse),607
Ncbp3,Q8BZR9,NCBP3_MOUSE,reviewed,Nuclear cap-binding protein subunit 3,Ncbp3,Mus musculus (Mouse),615
Ncf2,O70145,NCF2_MOUSE,reviewed,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox),Ncf2 Noxa2 P67phox,Mus musculus (Mouse),525
Nck1,Q99M51,NCK1_MOUSE,reviewed,Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1),Nck1,Mus musculus (Mouse),377
Nck2,O55033,NCK2_MOUSE,reviewed,Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta),Nck2 Grb4,Mus musculus (Mouse),380
Nckap1,P28660,NCKP1_MOUSE,reviewed,Nck-associated protein 1 (NAP 1) (Brain protein H19) (MH19) (Membrane-associated protein HEM-2) (p125Nap1),Nckap1 Hem2 Kiaa0587 Nap1,Mus musculus (Mouse),1128
Ncl,P09405,NUCL_MOUSE,reviewed,Nucleolin (Protein C23),Ncl Nuc,Mus musculus (Mouse),707
Ncln,Q8VCM8,NCLN_MOUSE,reviewed,Nicalin (Nicastrin-like protein),Ncln,Mus musculus (Mouse),563
Ncoa2,Q61026,NCOA2_MOUSE,reviewed,Nuclear receptor coactivator 2 (NCoA-2) (Glucocorticoid receptor-interacting protein 1) (GRIP-1) (Steroid receptor coactivator 2) (SRC-2) (Transcriptional intermediary factor 2),Ncoa2 Grip1 Src2 Tif2,Mus musculus (Mouse),1462
Ncoa3,O09000,NCOA3_MOUSE,reviewed,Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (Amplified in breast cancer-1 protein homolog) (AIB-1) (CBP-interacting protein) (p/CIP) (pCIP) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (ACTR) (TRAM-1),Ncoa3 Aib1 Pcip Rac3 Tram1,Mus musculus (Mouse),1398
Ncor1,Q60974,NCOR1_MOUSE,reviewed,Nuclear receptor corepressor 1 (N-CoR) (N-CoR1) (Retinoid X receptor-interacting protein 13) (RIP13),Ncor1 Rxrip13,Mus musculus (Mouse),2453
Ncor2,Q9WU42,NCOR2_MOUSE,reviewed,"Nuclear receptor corepressor 2 (N-CoR2) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (SMRTe) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)",Ncor2 Smrt,Mus musculus (Mouse),2472
Ncstn,P57716,NICA_MOUSE,reviewed,Nicastrin,Ncstn,Mus musculus (Mouse),708
Ndfip2,Q91ZP6,NFIP2_MOUSE,reviewed,NEDD4 family-interacting protein 2 (NEDD4 WW domain-binding protein 5A) (Fragment),Ndfip2 Kiaa1165 N4wbp5A,Mus musculus (Mouse),311
Ndrg1,Q62433,NDRG1_MOUSE,reviewed,Protein NDRG1 (N-myc downstream-regulated gene 1 protein) (Protein Ndr1),Ndrg1 Ndr1 Ndrl Tdd5,Mus musculus (Mouse),394
Ndrg2,Q9QYG0,NDRG2_MOUSE,reviewed,Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Ndr2),Ndrg2 Kiaa1248 Ndr2,Mus musculus (Mouse),371
Ndst1,Q3UHN9,NDST1_MOUSE,reviewed,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 1) (NDST-1) (N-heparan sulfate sulfotransferase 1) (N-HSST 1) ([Heparan sulfate]-glucosamine N-sulfotransferase 1) (HSNST 1) [Includes: Heparan sulfate N-deacetylase 1 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 1 (EC 2.8.2.-)],Ndst1,Mus musculus (Mouse),882
Ndufa3,Q9CQ91,NDUA3_MOUSE,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit),Ndufa3,Mus musculus (Mouse),84
Ndufa5,Q9CPP6,NDUA5_MOUSE,reviewed,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit),Ndufa5,Mus musculus (Mouse),116
Ndufaf5,A2APY7,NDUF5_MOUSE,reviewed,"Arginine-hydroxylase NDUFAF5, mitochondrial (EC 1.-.-.-) (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5) (Putative methyltransferase NDUFAF5) (EC 2.1.1.-)",Ndufaf5,Mus musculus (Mouse),343
Ndufb6,Q3UIU2,NDUB6_MOUSE,reviewed,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit),Ndufb6 Gm137,Mus musculus (Mouse),128
Ndufb8,Q9D6J5,NDUB8_MOUSE,reviewed,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)",Ndufb8,Mus musculus (Mouse),186
Ndufc2,Q9CQ54,NDUC2_MOUSE,reviewed,NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (NADH-ubiquinone oxidoreductase subunit B14.5b),Ndufc2,Mus musculus (Mouse),120
Ndufs2,Q91WD5,NDUS2_MOUSE,reviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",Ndufs2,Mus musculus (Mouse),463
Ndufs8,Q8K3J1,NDUS8_MOUSE,reviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",Ndufs8,Mus musculus (Mouse),212
Necap2,Q9D1J1,NECP2_MOUSE,reviewed,Adaptin ear-binding coat-associated protein 2 (NECAP endocytosis-associated protein 2) (NECAP-2),Necap2,Mus musculus (Mouse),266
Nectin1,Q9JKF6,NECT1_MOUSE,reviewed,Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111),Nectin1 Hvec Prr1 Pvrl1,Mus musculus (Mouse),515
Nedd1,P33215,NEDD1_MOUSE,reviewed,Protein NEDD1 (Neural precursor cell expressed developmentally down-regulated protein 1) (NEDD-1),Nedd1 Nedd-1,Mus musculus (Mouse),660
Nedd4,P46935,NEDD4_MOUSE,reviewed,E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4) (NEDD-4),Nedd4 Kiaa0093 Nedd-4 Nedd4-1 Nedd4a,Mus musculus (Mouse),887
Nedd9,O35177,CASL_MOUSE,reviewed,Enhancer of filamentation 1 (mEF1) (CRK-associated substrate-related protein) (CAS-L) (Neural precursor cell expressed developmentally down-regulated protein 9) (NEDD-9) (p105),Nedd9 Casl,Mus musculus (Mouse),833
Nek2,O35942,NEK2_MOUSE,reviewed,Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2),Nek2,Mus musculus (Mouse),443
Nek6,Q9ES70,NEK6_MOUSE,reviewed,Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6),Nek6,Mus musculus (Mouse),313
Nek9,Q8K1R7,NEK9_MOUSE,reviewed,Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9),Nek9 Nercc,Mus musculus (Mouse),984
Nelfa,Q8BG30,NELFA_MOUSE,reviewed,Negative elongation factor A (NELF-A) (Wolf-Hirschhorn syndrome candidate 2 homolog) (mWHSC2),Nelfa Whsc2 Whsc2h,Mus musculus (Mouse),530
Nemf,Q8CCP0,NEMF_MOUSE,reviewed,Nuclear export mediator factor Nemf (Serologically defined colon cancer antigen 1 homolog),Nemf Sdccag1,Mus musculus (Mouse),1064
Net1,Q9Z206,ARHG8_MOUSE,reviewed,Neuroepithelial cell-transforming gene 1 protein (Rho guanine nucleotide exchange factor 8),Net1 Arhgef8,Mus musculus (Mouse),595
Neto2,Q8BNJ6,NETO2_MOUSE,reviewed,Neuropilin and tolloid-like protein 2 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 2),Neto2 Btcl2,Mus musculus (Mouse),525
Neu1,O35657,NEUR1_MOUSE,reviewed,Sialidase-1 (EC 3.2.1.18) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1),Neu1 Neu,Mus musculus (Mouse),409
Nf2,P46662,MERL_MOUSE,reviewed,Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2) (Schwannomin),Nf2 Nf-2,Mus musculus (Mouse),596
Nfat5,Q9WV30,NFAT5_MOUSE,reviewed,Nuclear factor of activated T-cells 5 (NF-AT5) (Rel domain-containing transcription factor NFAT5) (T-cell transcription factor NFAT5),Nfat5,Mus musculus (Mouse),1534
Nfatc3,P97305,NFAC3_MOUSE,reviewed,"Nuclear factor of activated T-cells, cytoplasmic 3 (NF-ATc3) (NFATc3) (NFATx) (T-cell transcription factor NFAT4) (NF-AT4)",Nfatc3 Nfat4,Mus musculus (Mouse),1075
Nfe2l1,Q61985,NF2L1_MOUSE,reviewed,"Endoplasmic reticulum membrane sensor NFE2L1 (Locus control region-factor 1) (LCR-F1) (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) [Cleaved into: Transcription factor NRF1]",Nfe2l1 Nrf1,Mus musculus (Mouse),741
Nfe2l2,Q60795,NF2L2_MOUSE,reviewed,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nuclear factor, erythroid derived 2, like 2)",Nfe2l2 Nrf2,Mus musculus (Mouse),597
Nfia,Q02780,NFIA_MOUSE,reviewed,Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein),Nfia,Mus musculus (Mouse),532
Nfib,P97863,NFIB_MOUSE,reviewed,Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein),Nfib,Mus musculus (Mouse),570
Nfix,P70257,NFIX_MOUSE,reviewed,Nuclear factor 1 X-type (NF1-X) (Nuclear factor 1/X) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/X) (NF-I/X) (NFI-X) (TGGCA-binding protein),Nfix,Mus musculus (Mouse),488
Nfkb1,P25799,NFKB1_MOUSE,reviewed,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (NF-kappa-B1 p84/NF-kappa-B1 p98) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],Nfkb1,Mus musculus (Mouse),971
Nfkbia,Q9Z1E3,IKBA_MOUSE,reviewed,NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha),Nfkbia Ikba,Mus musculus (Mouse),314
Nfrkb,Q6PIJ4,NFRKB_MOUSE,reviewed,Nuclear factor related to kappa-B-binding protein (DNA-binding protein R kappa-B),Nfrkb,Mus musculus (Mouse),1296
Nfu1,Q9QZ23,NFU1_MOUSE,reviewed,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5) (mHIRIP5)",Nfu1 Hirip5,Mus musculus (Mouse),255
Nfx1,B1AY10,NFX1_MOUSE,reviewed,"Transcriptional repressor NF-X1 (m-Nfx.1) (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)",Nfx1,Mus musculus (Mouse),1114
Nfyb,P63139,NFYB_MOUSE,reviewed,Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB),Nfyb,Mus musculus (Mouse),207
Ngdn,Q9DB96,NGDN_MOUSE,reviewed,Neuroguidin (EIF4E-binding protein),Ngdn Ngd,Mus musculus (Mouse),315
Ngly1,Q9JI78,NGLY1_MOUSE,reviewed,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (PNGase) (mPNGase) (EC 3.5.1.52) (N-glycanase 1) (Peptide:N-glycanase),Ngly1,Mus musculus (Mouse),651
Nhp2,Q9CRB2,NHP2_MOUSE,reviewed,H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2),Nhp2 Nola2,Mus musculus (Mouse),153
Nhsl1,Q8CAF4,NHSL1_MOUSE,reviewed,NHS-like protein 1,Nhsl1 Kiaa1357,Mus musculus (Mouse),1587
Nif3l1,Q9EQ80,NIF3L_MOUSE,reviewed,NIF3-like protein 1,Nif3l1,Mus musculus (Mouse),376
Nin,Q61043,NIN_MOUSE,reviewed,Ninein,Nin Kiaa1565,Mus musculus (Mouse),2113
Nipal1,Q8BMW7,NIPA3_MOUSE,reviewed,Magnesium transporter NIPA3 (NIPA-like protein 1) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 3 homolog),Nipal1 Nipa3 Npal1,Mus musculus (Mouse),416
Nipbl,Q6KCD5,NIPBL_MOUSE,reviewed,Nipped-B-like protein (Delangin homolog) (SCC2 homolog),Nipbl Scc2,Mus musculus (Mouse),2798
Nipsnap3b,Q9CQE1,NPS3B_MOUSE,reviewed,Protein NipSnap homolog 3B (NipSnap3B) (NipSnap-related protein) (Protein NipSnap homolog 3A) (NipSnap3A),Nipsnap3b Nipsnap3a,Mus musculus (Mouse),247
Nkrf,Q8BY02,NKRF_MOUSE,reviewed,NF-kappa-B-repressing factor (NFkB-repressing factor) (Transcription factor NRF),Nkrf Nrf,Mus musculus (Mouse),690
Nlrc5,C3VPR6,NLRC5_MOUSE,reviewed,Protein NLRC5,Nlrc5,Mus musculus (Mouse),1915
Nlrp9b,Q66X22,NLR9B_MOUSE,reviewed,"NACHT, LRR and PYD domains-containing protein 9B (NALP-delta)",Nlrp9b Nalp9 Nalp9b,Mus musculus (Mouse),1003
Nmd3,Q99L48,NMD3_MOUSE,reviewed,60S ribosomal export protein NMD3,Nmd3,Mus musculus (Mouse),503
Nmt1,O70310,NMT1_MOUSE,reviewed,Glycylpeptide N-tetradecanoyltransferase 1 (EC 2.3.1.97) (Myristoyl-CoA:protein N-myristoyltransferase 1) (NMT 1) (Type I N-myristoyltransferase) (Peptide N-myristoyltransferase 1),Nmt1,Mus musculus (Mouse),496
Nol4l,Q6DIB4,NOL4L_MOUSE,reviewed,Nucleolar protein 4-like,Nol4l,Mus musculus (Mouse),494
Nop10,Q9CQS2,NOP10_MOUSE,reviewed,H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10),Nop10 Nola3,Mus musculus (Mouse),64
Nop14,Q8R3N1,NOP14_MOUSE,reviewed,Nucleolar protein 14 (Nucleolar complex protein 14),Nop14 Nol14,Mus musculus (Mouse),860
Nop56,Q9D6Z1,NOP56_MOUSE,reviewed,Nucleolar protein 56 (Nucleolar protein 5A),Nop56 Nol5a,Mus musculus (Mouse),580
Nop58,Q6DFW4,NOP58_MOUSE,reviewed,Nucleolar protein 58 (MSSP) (Nucleolar protein 5) (SIK-similar protein),Nop58 Nol5,Mus musculus (Mouse),536
Nosip,Q9D6T0,NOSIP_MOUSE,reviewed,Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP),Nosip,Mus musculus (Mouse),301
Npc1,O35604,NPC1_MOUSE,reviewed,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),Npc1,Mus musculus (Mouse),1277
Npc2,Q9Z0J0,NPC2_MOUSE,reviewed,NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (mE1) (Niemann Pick type C2 protein homolog),Npc2,Mus musculus (Mouse),149
Npepps,Q11011,PSA_MOUSE,reviewed,Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S),Npepps Psa,Mus musculus (Mouse),920
Npm1,Q61937,NPM_MOUSE,reviewed,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),Npm1,Mus musculus (Mouse),292
Nptn,P97300,NPTN_MOUSE,reviewed,Neuroplastin (Stromal cell-derived receptor 1) (SDR-1),Nptn Sdfr1 Sdr1,Mus musculus (Mouse),397
Nr1d2,Q60674,NR1D2_MOUSE,reviewed,Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta),Nr1d2,Mus musculus (Mouse),576
Nr1i2,O54915,NR1I2_MOUSE,reviewed,Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PXR) (Pregnane X receptor),Nr1i2 Pxr,Mus musculus (Mouse),431
Nr2c1,Q505F1,NR2C1_MOUSE,reviewed,Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2) (mTR2),Nr2c1 Tr2 Tr2-11,Mus musculus (Mouse),590
Nr2c2,P49117,NR2C2_MOUSE,reviewed,Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4),Nr2c2 Mtr2r1 Tak1 Tr4,Mus musculus (Mouse),596
Nr3c1,P06537,GCR_MOUSE,reviewed,Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),Nr3c1 Grl Grl1,Mus musculus (Mouse),783
Nr3c2,Q8VII8,MCR_MOUSE,reviewed,Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2),Nr3c2 Mlr,Mus musculus (Mouse),978
Nr6a1,Q64249,NR6A1_MOUSE,reviewed,Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (mGCNF) (Retinoid receptor-related testis-specific receptor) (RTR),Nr6a1 Gcnf,Mus musculus (Mouse),495
Nrarp,Q91ZA8,NRARP_MOUSE,reviewed,Notch-regulated ankyrin repeat-containing protein,Nrarp,Mus musculus (Mouse),114
Nras,P08556,RASN_MOUSE,reviewed,GTPase NRas (Transforming protein N-Ras),Nras,Mus musculus (Mouse),189
Nrd1,Q8BHG1,NRDC_MOUSE,reviewed,Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase),Nrdc Nrd1,Mus musculus (Mouse),1161
Nrip1,Q8CBD1,NRIP1_MOUSE,reviewed,Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140),Nrip1,Mus musculus (Mouse),1161
Nrp1,P97333,NRP1_MOUSE,reviewed,Neuropilin-1 (A5 protein) (CD antigen CD304),Nrp1 Nrp,Mus musculus (Mouse),923
Nrp2,O35375,NRP2_MOUSE,reviewed,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),Nrp2,Mus musculus (Mouse),931
Nrros,Q8BMT4,LRC33_MOUSE,reviewed,Transforming growth factor beta activator LRRC33 (Leucine-rich repeat-containing protein 33) (Negative regulator of reactive oxygen species),Nrros Lrrc33,Mus musculus (Mouse),693
Nsd1,O88491,NSD1_MOUSE,reviewed,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific (EC 2.1.1.43) (H3-K36-HMTase) (H4-K20-HMTase) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)",Nsd1,Mus musculus (Mouse),2588
Nsd2,Q8BVE8,NSD2_MOUSE,reviewed,Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.43) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Wolf-Hirschhorn syndrome candidate 1 protein homolog),Nsd2 Kiaa1090 Whsc1,Mus musculus (Mouse),1365
Nsmce2,Q91VT1,NSE2_MOUSE,reviewed,E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog),Nsmce2 Mms21,Mus musculus (Mouse),247
Nsun2,Q1HFZ0,NSUN2_MOUSE,reviewed,RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (EC 2.1.1.203),Nsun2 D13Wsu123e Misu,Mus musculus (Mouse),757
Nt5e,Q61503,5NTD_MOUSE,reviewed,5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73),Nt5e Nt5 Nte,Mus musculus (Mouse),576
